example_id                                                                                                             | status  | run_time        |
./engines/immo_promo/spec/components/immo/promo/navbar_component_spec.rb[1:5:1]                                        | passed  | 0.34598 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:1:1]                                  | passed  | 0.17854 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:1:2]                                  | passed  | 0.18077 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:1:3]                                  | passed  | 0.18079 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:1:4]                                  | passed  | 0.18131 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:1:5]                                  | passed  | 0.18032 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:2:1]                                  | passed  | 0.17943 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:2:2]                                  | passed  | 0.18239 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:2:3]                                  | passed  | 0.18858 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:2:4]                                  | passed  | 0.17773 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:2:5]                                  | passed  | 0.17805 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:1:1]                                | passed  | 0.18644 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:2:1]                                | passed  | 0.18384 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:3:1]                                | passed  | 0.18023 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:3:2]                                | passed  | 0.18181 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:3:3]                                | passed  | 0.18438 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:3:4]                                | passed  | 0.18779 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:3:3:5]                                | passed  | 0.18485 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:4:1]                                  | passed  | 0.18683 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:4:2]                                  | passed  | 0.17879 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:4:3]                                  | passed  | 0.18177 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:4:4]                                  | passed  | 0.18155 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:5:1]                                  | passed  | 0.17994 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:5:2]                                  | passed  | 0.18008 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:5:3:1]                                | passed  | 0.19116 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:5:3:2]                                | passed  | 0.1844 seconds  |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:5:3:3]                                | passed  | 0.18582 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:6:1]                                  | passed  | 0.17882 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:6:2]                                  | passed  | 0.17747 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:7:1:1]                                | passed  | 0.18074 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:7:1:2]                                | passed  | 0.18057 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:7:1:3]                                | passed  | 0.18196 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:7:1:4]                                | passed  | 0.18436 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:7:2:1]                                | passed  | 0.18181 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:7:3:1]                                | passed  | 0.1796 seconds  |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:8:1:1]                                | passed  | 0.18464 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:8:2:1]                                | passed  | 0.17883 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:9:1]                                  | passed  | 0.18121 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:9:2]                                  | passed  | 0.18037 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:1:1]                               | passed  | 0.17731 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:1:2]                               | passed  | 0.17698 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:1:3]                               | passed  | 0.18028 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:1:4]                               | passed  | 0.17758 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:2:1]                               | passed  | 0.17777 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:2:2]                               | passed  | 0.1805 seconds  |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:3:1]                               | passed  | 0.18494 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:10:3:2]                               | passed  | 0.18773 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:11:1]                                 | passed  | 0.17658 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:11:2]                                 | passed  | 0.17663 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:12:1]                                 | passed  | 0.17963 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:13:1]                                 | passed  | 0.17821 seconds |
./engines/immo_promo/spec/components/immo/promo/project_card_component_spec.rb[1:13:2]                                 | passed  | 0.18076 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/data_table_component_spec.rb[1:1]                               | passed  | 0.00115 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/data_table_component_spec.rb[1:2]                               | passed  | 0.00085 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/data_table_component_spec.rb[1:3]                               | passed  | 0.00326 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/data_table_component_spec.rb[1:4]                               | passed  | 0.00134 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/data_table_component_spec.rb[1:5]                               | passed  | 0.00126 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/data_table_component_spec.rb[1:6]                               | passed  | 0.00133 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:1:1]                            | passed  | 0.00066 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:1:2]                            | passed  | 0.00074 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:2:1]                            | passed  | 0.00064 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:2:2]                            | passed  | 0.00063 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:3:1]                            | passed  | 0.00067 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:3:2]                            | passed  | 0.00078 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:4:1]                            | passed  | 0.00063 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:4:2]                            | passed  | 0.00063 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:5:1]                            | passed  | 0.00062 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:5:2]                            | passed  | 0.00064 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:5:3]                            | passed  | 0.00067 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:6:1]                            | passed  | 0.0006 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:6:2]                            | passed  | 0.00063 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:6:3]                            | passed  | 0.00063 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:7:1]                            | passed  | 0.00062 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:7:2]                            | passed  | 0.00063 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:7:3]                            | passed  | 0.00062 seconds |
